k_s_N_per_m,c_s_Ns_per_m,k_s_kN_per_m,c_s_kNs_per_m,balanced_score,bump_peak_sprung_mass_acceleration_mps2,sine_rms_sprung_mass_acceleration_mps2,bump_peak_suspension_deflection_m,sine_peak_tyre_deflection_m,baseline_k_s_N_per_m,baseline_c_s_Ns_per_m,selected_k_s_N_per_m,selected_c_s_Ns_per_m
21000,1971.42857142857,21,1.97142857142857,0.928254911502295,10.4966760522855,2.01388438585546,0.0368123670505725,0.00432132368932343,25000,2000,18000,2300
21000,2050,21,2.05,0.925083707771301,10.7349389890477,1.9842871388025,0.0363446834256303,0.00427119176424224,25000,2000,18000,2300
21000,2128.57142857143,21,2.12857142857143,0.922266294448047,10.9671355660542,1.95682951009846,0.0358896558063232,0.00422482691809598,25000,2000,18000,2300
21000,2207.14285714286,21,2.20714285714286,0.919768578719372,11.1934623372569,1.93133267411443,0.0354467326085938,0.00418190039969805,25000,2000,18000,2300
21000,2285.71428571429,21,2.28571428571429,0.917683913747203,11.4193523404993,1.90763306751496,0.0350153957059817,0.00414211309107851,25000,2000,18000,2300
21000,2364.28571428571,21,2.36428571428571,0.915888874698504,11.6409665342076,1.88558138772601,0.0345951580603397,0.00410519332775326,25000,2000,18000,2300
21000,2442.85714285714,21,2.44285714285714,0.914333344783272,11.8574386776434,1.86504153871022,0.0341855611325624,0.0040708946752632,25000,2000,18000,2300
21000,2521.42857142857,21,2.52142857142857,0.912993659331976,12.0689088803114,1.84588957401391,0.0337861729135222,0.00403899374774919,25000,2000,18000,2300
21000,2600,21,2.6,0.911848442503981,12.2755139201448,1.82801266941319,0.0333965859593893,0.00400928812199559,25000,2000,18000,2300
22000,1500,22,1.5,0.986960540996882,8.92154314051344,2.39482514960765,0.0398017789303149,0.00503980957915691,25000,2000,18000,2300
22000,1578.57142857143,22,1.57857142857143,0.978379604237896,9.19933018285983,2.33691595184535,0.0392341558348024,0.00493510033699325,25000,2000,18000,2300
22000,1657.14285714286,22,1.65714285714286,0.970666054714457,9.46981479141046,2.283669625196,0.0386838952652453,0.00483915397510786,25000,2000,18000,2300
22000,1735.71428571429,22,1.73571428571429,0.963737129673539,9.733244939343,2.23467418249765,0.0381501558303532,0.00475116517893506,25000,2000,18000,2300
